Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 2.5 mm x 38 mm (6060841915120);1.2.2018 16:06;1;"";13.6.2019;08717648164187;6060841915120;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.5 mm x 8 mm (7102641915009);2.5.2018 14:53;1;"";9.11.2020;08717648164118;7102641915009;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 12 mm (7082241915063);10.1.2018 14:19;-1;"";28.8.2020;08717648164224;7082241915063;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 12 mm (7121841915222);11.5.2018 14:10;1;"";1.1.2021;08717648164224;7121841915222;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (6111541915273);21.7.2017 9:16;-1;"";23.11.2019;08717648164231;6111541915273;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (7032241915239);4.7.2017 11:51;-1;"";29.3.2020;08717648164231;7032241915239;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (7060141915387);21.8.2017 13:39;-1;"";7.6.2020;08717648164231;7060141915387;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (7072441915161);9.10.2017 13:10;-1;"";2.8.2020;08717648164231;7072441915161;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (7072441915428);28.9.2017 14:03;1;"";2.8.2020;08717648164231;7072441915428;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (7072441915429);13.4.2018 13:19;1;"";2.8.2020;08717648164231;7072441915429;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (7082241915394);14.12.2017 13:21;1;"";30.8.2020;08717648164231;7082241915394;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 15 mm (7082241915689);16.1.2018 14:17;-2;"";30.8.2020;08717648164231;7082241915689;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 18 mm (7082341915864);8.1.2018 13:21;-1;"";30.8.2020;08717648164248;7082341915864;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 18 mm (7110841915371);8.1.2018 13:41;1;"";14.11.2020;08717648164248;7110841915371;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 23 mm (6112541915493);24.4.2017 14:16;-1;"";5.12.2019;08717648164255;6112541915493;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 23 mm (8012641915591);3.5.2018 11:13;1;"";8.2.2021;08717648164255;8012641915591;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 28 mm (6111541915349);14.3.2018 13:57;1;"";22.11.2019;08717648164262;6111541915349;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 33 mm (7101341915117);1.2.2018 16:05;1;"";23.10.2020;08717648164279;7101341915117;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 38 mm (7062841915333);15.1.2018 14:36;-1;"";5.7.2020;08717648164286;7062841915333;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 38 mm (7110641915019);15.1.2018 14:38;1;"";12.11.2020;08717648164286;7110641915019;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 2.75 mm x 38 mm (7112942915310);2.5.2018 14:55;1;"";11.12.2020;08717648164286;7112942915310;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (6113041915471);13.11.2017 11:23;-2;"";9.12.2019;08717648164378;6113041915471;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (7030141915388);14.3.2018 13:15;1;"";7.3.2020;08717648164378;7030141915388;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (8013141915223);17.4.2018 14:13;1;"";8.2.2021;08717648164378;8013141915223;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (8013141915494);3.4.2018 14:43;1;"";8.2.2021;08717648164378;8013141915494;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm 33 mm (8022141916689);3.5.2018 10:56;1;"";6.3.2021;08717648164378;8022141916689;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (6112241915417);12.4.2017 13:10;-1;"";30.11.2019;08717648164323;6112241915417;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (6121641915163);11.4.2017 13:45;-1;"";9.1.2020;08717648164323;6121641915163;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7012641915219);19.4.2017 12:46;-1;"";7.2.2020;08717648164323;7012641915219;HUS Meilahti kaupinta varasto BMXP BMX6
Abbott Xience PROX 3.0 mm x 12 mm (7012641915841);4.5.2017 12:01;-1;"";7.2.2020;08717648164323;7012641915841;HUS Meilahti kaupinta varasto BMXP BMX6
