Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
BioFreedom 3.50 x 36 mm (W16070336);8.11.2016 10:41;1;"";20.1.2018;08888893014760;W16070336;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 4.00 x 11 mm (W16100294D);29.3.2018 11:27;1;"";19.10.2018;08888893014784;W16100294D;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 4.00 x 14 mm (W17100348H);9.2.2018 14:07;1;"";7.5.2019;08888893014791;W17100348H;Kajaani kaupintavarasto BMXP BFR1
BioFreedom 4.00 x 24 mm (W17040287Z);26.2.2018 13:53;1;"";17.4.2019;08888893014814;W17040287Z;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 2.50 x 19 mm (W16030446);11.1.2017 10:13;1;"";28.3.2017;08888893018713;W16030446;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 2.50 x 24 mm (W16030160D);22.9.2017 12:33;1;"";14.3.2018;08888893018720;W16030160D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 2.50 x 24 mm (W17050310);15.1.2018 14:20;1;"";22.5.2019;08888893018720;W17050310;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.00 x 14 mm (W16040547D);20.10.2017 11:31;1;"";3.5.2018;08888893018843;W16040547D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.00 x 19 mm (W17050305);19.12.2017 9:56;2;"";22.5.2019;08888893018850;W17050305;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.00 x 24 mm (W16030575D);19.12.2017 9:54;1;"";4.4.2018;08888893018867;W16030575D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.00 x 24 mm (W17040449);7.2.2018 10:05;1;"";26.4.2019;08888893018867;W17040449;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.00 x 29 mm (W16030347D);5.9.2017 13:20;1;"";21.3.2018;08888893018874;W16030347D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.00 x 29 mm (W16040361D);5.9.2017 13:21;1;"";25.4.2018;08888893018874;W16040361D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.00 x 29 mm (W17020149);11.4.2017 13:23;1;"";14.2.2018;08888893018874;W17020149;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.5 x 24 mm (W17030533);18.10.2017 14:26;1;"";3.4.2019;08888893018935;W17030533;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.5 x 24 mm (W17040460);5.1.2018 13:49;1;"";26.4.2019;08888893018935;W17040460;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.5 x 29 mm (W17020146);6.6.2017 14:49;1;"";14.2.2018;08888893018942;W17020146;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.5 x 33 mm (W16020242D);17.10.2017 14:47;1;"";28.2.2018;08888893018959;W16020242D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 3.5 x 36 mm (W16020243D);15.5.2017 13:28;1;"";28.2.2018;08888893018966;W16020243D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 4.00 x 19 mm (W16030047D);26.6.2017 10:30;1;"";7.3.2018;08888893018997;W16030047D;Kajaani kaupintavarasto BMXP BFR1
BioMatrix Alpha 4.00 x 24 mm (W16020245D);9.6.2017 15:04;1;"";28.2.2018;08888893019000;W16020245D;Kajaani kaupintavarasto BMXP BFR1
