Nimi;Muutettu;Määrä(Tuote);Määrä;Viimeinen käyttöpäivä;barcode tuote;Lot;Varasto
Abbott Xience PROX 3.5 mm x 15 mm (7011141915785);17.5.2017 14:55;-2;"";17.1.2020;08717648161858;7011141915785;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7011141915787);3.4.2017 14:10;1;"";17.1.2020;08717648161858;7011141915787;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7013041915587);9.3.2018 14:24;1;"";6.2.2020;08717648161858;7013041915587;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7032241915066);3.8.2017 13:28;-3;"";28.3.2020;08717648161858;7032241915066;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7032241915917);17.5.2017 15:03;1;"";28.3.2020;08717648161858;7032241915917;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7032241915922);17.5.2017 15:03;1;"";28.3.2020;08717648161858;7032241915922;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7032241915984);13.6.2017 14:08;1;"";28.3.2020;08717648161858;7032241915984;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7050941915270);12.9.2017 13:08;-3;"";17.5.2020;08717648161858;7050941915270;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7050941915734);3.8.2017 13:29;1;"";17.5.2020;08717648161858;7050941915734;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7050941915763);18.7.2017 13:20;1;"";17.5.2020;08717648161858;7050941915763;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7050941916273);8.8.2017 13:24;1;"";17.5.2020;08717648161858;7050941916273;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7071141915435);4.9.2017 9:48;1;"";18.7.2020;08717648161858;7071141915435;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7071141915951);19.12.2017 12:58;-3;"";18.7.2020;08717648161858;7071141915951;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7071141915953);12.9.2017 13:16;1;"";18.7.2020;08717648161858;7071141915953;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7071141916415);13.10.2017 14:20;1;"";18.7.2020;08717648161858;7071141916415;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7091241915725);9.3.2018 14:19;-1;"";18.9.2020;08717648161858;7091241915725;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (7091241915862);24.11.2017 10:55;1;"";18.9.2020;08717648161858;7091241915862;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (8013041915131);13.4.2018 13:14;1;"";8.2.2021;08717648161858;8013041915131;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 15 mm (8013041915949);17.5.2018 11:32;1;"";8.2.2021;08717648161858;8013041915949;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7021041915064);11.8.2017 14:41;-3;"";19.2.2020;08717648161865;7021041915064;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7021041915137);3.4.2017 14:09;1;"";19.2.2020;08717648161865;7021041915137;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7021041915270);10.4.2017 14:42;1;"";19.2.2020;08717648161865;7021041915270;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7021041916082);9.3.2018 14:38;1;"";19.2.2020;08717648161865;7021041916082;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7050441915149);27.10.2017 14:33;-1;"";17.5.2020;08717648161865;7050441915149;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7050441915446);20.7.2017 13:53;1;"";17.5.2020;08717648161865;7050441915446;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7062841916165);9.11.2017 14:42;-1;"";5.7.2020;08717648161865;7062841916165;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7062841916173);15.9.2017 9:55;1;"";5.7.2020;08717648161865;7062841916173;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7072141915026);13.11.2017 13:31;-1;"";1.8.2020;08717648161865;7072141915026;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7072141915884);1.12.2017 13:01;1;"";1.8.2020;08717648161865;7072141915884;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7092741915075);21.11.2017 14:06;-1;"";4.10.2020;08717648161865;7092741915075;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7092741915894);21.11.2017 14:07;1;"";4.10.2020;08717648161865;7092741915894;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7111741915082);15.2.2018 15:11;-1;"";26.11.2020;08717648161865;7111741915082;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7111741915543);1.2.2018 13:46;1;"";26.11.2020;08717648161865;7111741915543;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7112041915477);22.3.2018 13:24;-1;"";26.11.2020;08717648161865;7112041915477;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (7112041915485);15.2.2018 15:20;1;"";26.11.2020;08717648161865;7112041915485;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (8020641915558);20.4.2018 13:01;1;"";14.2.2021;08717648161865;8020641915558;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (8031441915626);28.5.2018 9:54;1;"";26.3.2021;08717648161865;8031441915626;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 18 mm (8031441915945);16.5.2018 12:11;1;"";26.3.2021;08717648161865;8031441915945;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7012641915219);19.4.2017 13:25;1;"";6.2.2020;08717648161872;7012641915219;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7021341915529);17.5.2018 11:26;-1;"";19.2.2020;08717648161872;7021341915529;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7021341915796);5.3.2018 14:45;1;"";19.2.2020;08717648161872;7021341915796;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7021341916089);1.3.2018 14:05;1;"";19.2.2020;08717648161872;7021341916089;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7062041915170);2.8.2017 13:09;1;"";28.6.2020;08717648161872;7062041915170;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7062041915432);18.1.2018 12:54;-1;"";28.6.2020;08717648161872;7062041915432;Peijas BMXP BMX6
Abbott Xience PROX 3.5 mm x 23 mm (7110741915615);18.1.2018 13:05;1;"";13.11.2020;08717648161872;7110741915615;Peijas BMXP BMX6
